Geneid	Length
Ng00143	2898
Ng00144	1926
Ng00145	1167
Ng00146	1071
Ng00147	1464
Ng00148	2889
Ng00149	4187
Ng00150	2496
Ng00151	1783
Ng00152	261
Ng00153	1628
Ng00154	279
Ng00155	806
Ng00156	1286
Ng00157	597
Ng00158	453
Ng00159	2249
Ng00160	5042
Ng00161	3636
Ng00162	192
Ng00163	1074
Ng00164	360
Ng00165	1950
Ng00166	207
Ng00167	948
Ng00168	849
Ng00169	405
Ng00170	1911
Ng00171	222
Ng00172	4344
Ng00173	1222
Ng00174	345
Ng00175	4090
Ng00176	1272
Ng00177	828
Ng00178	438
Ng00179	1803
Ng00180	492
Ng00181	927
Ng00182	858
Ng00183	1926
Ng00184	501
Ng00185	1701
Ng00186	1761
Ng00187	621
Ng00188	3255
Ng00189	1859
Ng00190	2460
Ng00191	1470
Ng00192	3117
Ng00193	1233
Ng00194	2792
Ng00195	717
Ng00196	1728
Ng00197	1587
Ng00198	1566
Ng00199	1164
Ng00200	744
Ng00201	3220
Ng00202	1864
Ng00203	414
Ng00204	1026
Ng00205	1149
Ng00206	1342
Ng00207	1011
Ng00208	902
Ng00209	1773
Ng00210	180
Ng00211	420
Ng00212	2700
Ng00213	2055
Ng00214	2070
Ng00215	3548
Ng00216	834
Ng00217	1734
Ng00218	1505
Ng00219	1821
Ng00220	2738
Ng00221	3123
Ng00222	330
Ng00223	585
Ng00224	1218
Ng00225	1176
Ng00226	1692
Ng00227	990
Ng00228	1323
Ng00229	2892
Ng00230	261
Ng00231	1476
Ng00232	1122
Ng00233	2469
Ng00234	564
Ng00235	5166
Ng00236	258
Ng00237	1006
Ng00238	615
Ng00239	1776
Ng00240	483
Ng00241	1644
Ng00242	453
Ng00243	354
Ng00244	966
Ng00245	894
Ng00246	762
Ng00247	465
Ng00248	2023
Ng00249	2013
Ng00250	420
Ng00251	352
Ng00252	1062
Ng00253	1359
Ng00254	1674
Ng00255	4040
Ng00256	333
Ng00257	954
Ng00258	2256
Ng00259	1026
Ng00260	582
Ng00261	1056
Ng00262	330
Ng00263	3141
Ng00264	2202
Ng00265	198
Ng00266	804
Ng00267	1678
Ng00268	12834
Ng00269	1920
Ng00270	1752
Ng00271	1068
Ng00272	723
Ng00273	1236
Ng00274	321
Ng00275	1620
Ng00276	1107
Ng00277	1115
Ng00278	753
Ng00279	930
Ng00280	1056
Ng00281	1607
Ng00282	1412
Ng00283	591
Ng00284	1026
Ng00285	792
Ng00286	1515
Ng00287	1712
Ng00288	945
Ng00289	900
Ng00290	243
Ng00291	3351
Ng00292	966
Ng00293	465
Ng00294	2259
Ng00295	435
Ng00296	816
Ng00297	3417
Ng00298	933
Ng00299	795
Ng00300	882
Ng00301	303
Ng00302	1713
Ng00303	2475
Ng00304	1659
Ng00305	1716
Ng00306	1406
Ng00307	1128
Ng00308	1976
Ng00309	996
Ng00310	3066
Ng00311	1800
Ng00312	2406
Ng00313	924
Ng00314	2611
Ng00315	3096
Ng00316	474
Ng00317	357
Ng00318	576
Ng00319	2383
Ng00320	2649
Ng00321	222
Ng00322	1662
Ng00323	1173
Ng00324	3385
Ng00325	774
Ng00326	3414
Ng00327	705
Ng00328	1278
Ng00329	2358
Ng00330	813
Ng00331	980
Ng00332	1872
Ng00333	5520
Ng00334	192
Ng00335	1287
Ng00336	2622
Ng00337	6498
Ng00338	306
Ng00339	2361
Ng00340	1068
Ng00341	1899
Ng00342	2994
Ng00343	879
Ng00344	1671
Ng00345	3803
Ng00346	507
Ng00347	2824
Ng00348	3053
Ng00349	1881
Ng00350	2388
Ng00351	1566
Ng00352	2148
Ng00353	859
Ng00354	1104
Ng00355	330
Ng00356	939
Ng00357	594
Ng00358	1476
Ng00359	1377
Ng00360	1818
Ng00361	1858
Ng00362	2335
Ng00363	1584
Ng00364	3894
Ng00365	684
Ng00366	690
Ng00367	2377
Ng00368	1740
Ng00369	1866
Ng00370	3721
Ng00371	3754
Ng00372	1857
Ng00373	1569
Ng00374	303
Ng00375	6549
Ng00376	192
Ng00377	183
Ng00378	4179
Ng00379	1241
Ng00380	660
Ng00381	1673
Ng00382	645
Ng00383	4923
Ng00384	183
Ng00385	240
Ng00386	3960
Ng00387	2157
Ng00388	1166
Ng00389	1110
Ng00390	852
Ng00391	1095
Ng00392	2421
Ng00393	291
Ng00394	2430
Ng00395	2203
Ng00396	2508
Ng00397	3339
Ng00398	1094
Ng00399	861
Ng00400	2214
Ng00401	2346
Ng00402	3879
Ng00403	384
Ng00404	2481
Ng00405	1566
Ng00406	1260
Ng00407	1701
Ng00408	1599
Ng00409	1899
Ng00410	1350
Ng00411	360
Ng00412	1580
Ng00413	435
Ng00414	1944
Ng00415	1296
Ng00416	471
Ng00417	478
Ng00418	804
Ng00419	1065
Ng00420	3393
Ng00421	1839
Ng00422	279
Ng00423	450
Ng00424	762
Ng00425	1038
Ng00426	978
Ng00427	1533
Ng00428	255
Ng00429	417
Ng00430	1857
Ng00431	189
Ng00432	2286
Ng00433	966
Ng00434	3878
Ng00435	3723
Ng00436	2052
Ng00437	291
Ng00438	3000
Ng00439	2946
Ng00440	1983
Ng00441	1291
Ng00442	2389
Ng00443	810
Ng00444	1779
Ng00445	2988
Ng00446	207
Ng00447	1722
Ng00448	1996
Ng00449	1306
Ng00450	1830
Ng00451	1185
Ng00452	942
Ng00453	1029
Ng00454	901
Ng00455	1722
Ng00456	2385
Ng00457	360
Ng00458	1023
Ng00459	1212
Ng00460	1785
Ng00461	207
Ng00462	1248
Ng00463	1299
Ng00464	909
Ng00465	1011
Ng00466	1743
Ng00467	195
Ng00468	439
Ng00469	972
Ng00470	4254
Ng00471	1128
Ng00472	327
Ng00473	5700
Ng00474	318
Ng00475	3123
Ng00476	1806
Ng00477	1125
Ng00478	1194
Ng00479	270
Ng00480	1707
Ng00481	1040
Ng00482	1887
Ng00483	2463
Ng00484	4462
Ng00485	240
Ng00486	1797
Ng00487	885
Ng00488	1791
Ng00489	1275
Ng00490	381
Ng00491	1510
Ng00492	1080
Ng00493	1059
Ng00494	3246
Ng00495	2544
Ng00496	1648
Ng00497	198
Ng00498	180
Ng00499	1182
Ng00500	1515
Ng00501	2170
Ng00502	8683
Ng00503	2868
Ng00504	309
Ng00505	1554
Ng00506	231
Ng00507	435
Ng00508	1341
Ng00509	841
Ng00510	1305
Ng00511	939
Ng00512	2235
Ng00513	1689
Ng00514	1092
Ng00515	594
Ng00516	1572
Ng00517	1100
Ng00518	1200
Ng00519	2847
Ng00520	964
Ng00521	948
Ng00522	1815
Ng00523	1329
Ng00524	420
Ng00525	2454
Ng00526	1436
Ng00527	861
Ng00528	1902
Ng00529	183
Ng00530	504
Ng00531	231
Ng00532	366
Ng00533	2874
Ng00534	1638
Ng00535	1217
Ng00536	1290
Ng00537	1470
Ng00538	186
Ng00539	441
Ng00540	804
Ng00541	489
Ng00542	2136
Ng00543	453
Ng00544	315
Ng00545	114
Ng00546	3436
Ng00547	2437
Ng00548	841
Ng00549	1560
Ng00550	225
Ng00551	639
Ng00552	459
Ng00553	2100
Ng00554	1206
Ng00555	2694
Ng00556	807
Ng00557	2004
Ng00558	1470
Ng00559	2897
Ng00560	2002
Ng00561	2835
Ng00562	1496
Ng00563	417
Ng00564	2223
Ng00565	1634
Ng00566	1593
Ng00567	1314
Ng00568	2325
Ng00569	1209
Ng00570	393
Ng00571	1580
Ng00572	1107
Ng00573	1329
Ng00574	2395
Ng00575	1098
Ng00576	282
Ng00577	183
Ng00578	4714
Ng00579	1302
Ng00580	924
Ng00581	420
Ng00582	189
Ng00583	2273
Ng00584	240
Ng00585	2373
Ng00586	987
Ng00587	483
Ng00588	2001
Ng00589	2238
Ng00590	213
Ng00591	1044
Ng00592	1074
Ng00593	1368
Ng00594	2049
Ng00595	1347
Ng00596	1122
Ng00597	717
Ng00598	1635
Ng00599	1521
Ng00600	4253
Ng00601	994
Ng00602	261
Ng00603	378
Ng00604	1626
Ng00605	438
Ng00606	714
Ng00607	2728
Ng00608	1122
Ng00609	435
Ng00610	2493
Ng00611	1933
Ng00612	750
Ng00613	2202
Ng00614	219
Ng00615	735
Ng00616	1464
Ng00617	1005
Ng00618	1818
Ng00619	546
Ng00620	549
Ng00621	1157
Ng00622	927
Ng00623	2634
Ng00624	183
Ng00625	696
Ng00626	1941
Ng00627	1143
Ng00628	3666
Ng00629	378
Ng00630	2015
Ng00631	1056
Ng00632	600
Ng00633	450
Ng00634	768
Ng00635	6806
Ng00636	1494
Ng00637	723
Ng00638	1210
Ng00639	1620
Ng00640	1502
Ng00641	1479
Ng00642	1356
Ng00643	1023
Ng00644	2517
Ng00645	2601
Ng00646	366
Ng00647	1761
Ng00648	956
Ng00649	1316
Ng00650	2199
Ng00651	3825
Ng00652	921
Ng00653	1545
Ng00654	1522
Ng00655	510
Ng00656	468
Ng00657	882
Ng00658	1849
Ng00659	2445
Ng00660	2152
Ng00661	1584
Ng00662	1476
Ng00663	924
Ng00664	1188
Ng00665	1703
Ng00666	1890
Ng00667	729
Ng00668	108
Ng00669	2970
Ng00670	1236
Ng00671	10430
Ng00672	216
Ng00673	1152
Ng00674	2328
Ng00675	294
Ng00676	1992
Ng00677	2718
Ng00678	1151
Ng00679	498
Ng00680	1659
Ng00681	1433
Ng00682	630
Ng00683	1164
Ng00684	2537
Ng00685	336
Ng00686	736
Ng00687	2154
Ng00688	807
Ng00689	1050
Ng00690	852
Ng00691	723
Ng00692	1293
Ng00693	1038
Ng00694	1215
Ng00695	1580
Ng00696	1518
Ng00697	387
Ng00698	2020
Ng00699	4037
Ng00700	3036
Ng00701	192
Ng00702	1917
Ng00703	1362
Ng00704	612
Ng00705	408
Ng00706	384
Ng00707	6027
Ng00708	861
Ng00709	1329
Ng00710	960
Ng00711	3062
Ng00712	2061
Ng00713	561
Ng00714	3025
Ng00715	2625
Ng00716	1270
Ng00717	2136
Ng00718	1269
Ng00719	1566
Ng00720	1690
Ng00721	1790
Ng00722	552
Ng00723	1329
Ng00724	1278
Ng00725	2507
Ng00726	453
Ng00727	1784
Ng00728	327
Ng00729	1689
Ng00730	672
Ng00731	3171
Ng00732	915
Ng00733	2265
Ng00734	1545
Ng00735	3924
Ng00736	768
Ng00737	1554
Ng00738	297
Ng00739	792
Ng00740	333
Ng00741	2399
Ng00742	1323
Ng00743	1542
Ng00744	729
Ng00745	1185
Ng00746	270
Ng00747	663
Ng00748	1632
Ng00749	2427
Ng00750	1206
Ng00751	1569
Ng00752	1365
Ng00753	1527
Ng00754	408
Ng00755	327
Ng00756	1892
Ng00757	1188
Ng00758	1654
Ng00759	3972
Ng00760	903
Ng00761	3757
Ng00762	1356
Ng00763	702
Ng00764	426
Ng00765	1158
Ng00766	375
Ng00767	702
Ng00768	333
Ng00769	393
Ng00770	1074
Ng00771	2841
Ng00772	1917
Ng00773	738
Ng00774	3927
Ng00775	6072
Ng00776	1101
Ng00777	1329
Ng00778	1913
Ng00779	2532
Ng00780	1827
Ng00781	702
Ng00782	1552
Ng00783	3906
Ng00784	922
Ng00785	1977
Ng00786	531
Ng00787	1020
Ng00788	1232
Ng00789	3299
Ng00790	1305
Ng00791	195
Ng00792	1338
Ng00793	1524
Ng00794	2198
Ng00795	1533
Ng00796	1587
Ng00797	450
Ng00798	1399
Ng00799	3000
Ng00800	1191
Ng00801	588
Ng00802	695
Ng00803	615
Ng00804	2082
Ng00805	1167
Ng00806	3279
Ng00807	2231
Ng00808	1443
Ng00809	1029
Ng00810	2375
Ng00811	642
Ng00812	1317
Ng00813	3318
Ng00814	1002
Ng00815	3112
Ng00816	1384
Ng00817	975
Ng00818	789
Ng00819	1104
Ng00820	585
Ng00821	642
Ng00822	1425
Ng00823	888
Ng00824	949
Ng00825	3712
Ng00826	270
Ng00827	633
Ng00828	1229
Ng00829	303
Ng00830	1878
Ng00831	3123
Ng00832	189
Ng00833	1890
Ng00834	2073
Ng00835	849
Ng00836	2385
Ng00837	1110
Ng00838	2388
Ng00839	1005
Ng00840	729
Ng00841	276
Ng00842	4368
Ng00843	1241
Ng00844	987
Ng00845	672
Ng00846	2223
Ng00847	1899
Ng00848	237
Ng00849	741
Ng00850	3312
Ng00851	3929
Ng00852	345
Ng00853	465
Ng00854	153
Ng00855	1795
Ng00856	1135
Ng00857	1503
Ng00858	3069
Ng00859	1566
Ng00860	678
Ng00861	1710
Ng00862	1169
Ng00863	3264
Ng00864	1476
Ng00865	2311
Ng00866	3737
Ng00867	339
Ng00868	270
Ng00869	4206
Ng00870	408
Ng00871	687
Ng00872	195
Ng00873	1509
Ng00874	606
Ng00875	1548
Ng00876	318
Ng00877	1398
Ng00878	573
Ng00879	231
Ng00880	1629
Ng00881	2040
Ng00882	351
Ng00883	662
Ng00884	330
Ng00885	795
Ng00886	2148
Ng00887	357
Ng00888	1734
Ng00889	879
Ng00890	1424
Ng00891	462
Ng00892	309
Ng00893	1491
Ng00894	318
Ng00895	2336
Ng00896	2696
Ng00897	987
Ng00898	2844
Ng00899	324
Ng00900	1138
Ng00901	4455
Ng00902	657
Ng00903	891
Ng00904	1790
Ng00905	924
Ng00906	3172
Ng00907	1776
Ng00908	1005
Ng00909	903
Ng00910	3013
Ng00911	6030
Ng00912	198
Ng00913	528
Ng00914	3714
Ng00915	327
Ng00916	2130
Ng00917	886
Ng00918	372
Ng00919	4692
Ng00920	213
Ng00921	43848
Ng00923	2645
Ng00924	1764
Ng00925	1537
Ng00926	567
Ng00927	3554
Ng00928	3812
Ng00929	2142
Ng00930	1068
Ng00931	1149
Ng00932	1572
Ng00933	2629
Ng00934	1896
Ng00935	390
Ng00936	1761
Ng00937	1131
Ng00938	406
Ng00939	456
Ng00940	1131
Ng00941	1533
Ng00942	507
Ng00943	1220
Ng00944	1542
Ng00945	183
Ng00946	7302
Ng00947	2520
Ng00948	1494
Ng00949	6756
Ng00950	1402
Ng00951	2511
Ng00952	1914
Ng00953	654
Ng00954	717
Ng00955	1539
Ng00956	1232
Ng00957	1615
Ng00958	372
Ng00959	1209
Ng00960	693
Ng00961	2031
Ng00962	483
Ng00963	561
Ng00964	549
Ng00965	1041
Ng00966	3663
Ng00967	642
Ng00968	1029
Ng00969	963
Ng00970	381
Ng00971	2715
Ng00972	396
Ng00973	2001
Ng00974	711
Ng00975	1482
Ng00976	1176
Ng00977	408
Ng00978	915
Ng00979	1095
Ng00980	1323
Ng00981	807
Ng00982	2073
Ng00983	198
Ng00984	1967
Ng00985	763
Ng00986	1659
Ng00987	1293
Ng00988	1341
Ng00989	3901
Ng00990	240
Ng00991	1715
Ng00992	1846
Ng00993	657
Ng00994	1973
Ng00995	576
Ng00996	1269
Ng00997	1473
Ng00998	759
Ng00999	1197
Ng01000	498
Ng01001	675
Ng01002	381
Ng01003	411
Ng01004	408
Ng01005	1134
Ng01006	521
Ng01007	627
Ng01008	510
Ng01009	3239
Ng01010	1761
Ng01011	1716
Ng01012	2172
Ng01013	1005
Ng01014	492
Ng01015	1830
Ng01016	1288
Ng01017	801
Ng01018	2829
Ng01019	537
Ng01020	432
Ng01021	930
Ng01022	1893
Ng01023	1110
Ng01024	186
Ng01025	1062
Ng01026	2811
Ng01027	1805
Ng01028	858
Ng01029	2226
Ng01030	327
Ng01031	243
Ng01032	1590
Ng01033	3408
Ng01034	369
Ng01035	2139
Ng01036	366
Ng01037	1431
Ng01038	2868
Ng01039	1122
Ng01040	1025
Ng01041	1873
Ng01042	1140
Ng01043	1857
Ng01044	306
Ng01045	4707
Ng01046	16764
Ng01047	372
Ng01048	1020
Ng01049	5438
Ng01050	714
Ng01051	279
Ng01052	2214
Ng01053	2031
Ng01054	5208
Ng01055	978
Ng01056	1851
Ng01057	1188
Ng01058	2043
Ng01059	685
Ng01060	2142
Ng01061	1056
Ng01062	1047
Ng01063	819
Ng01064	1335
Ng01065	2142
Ng01066	2274
Ng01067	477
Ng01068	2717
Ng01069	549
Ng01070	894
Ng01071	1854
Ng01072	1339
Ng01073	1629
Ng01074	1851
Ng01075	954
Ng01076	1999
Ng01077	2481
Ng01078	4237
Ng01079	306
Ng01080	2780
Ng01081	216
Ng01082	5012
Ng01083	405
Ng01084	885
Ng01085	2607
Ng01086	2067
Ng01087	1059
Ng01088	2065
Ng01089	1893
Ng01090	1602
Ng01091	855
Ng01092	1163
Ng01093	4020
Ng01094	4128
Ng01095	1302
Ng01096	4046
Ng01097	771
Ng01098	596
Ng01099	972
Ng01100	2187
Ng01101	783
Ng01102	351
Ng01103	1032
Ng01104	447
Ng01105	1578
Ng01106	948
Ng01107	1219
Ng01108	1743
Ng01109	939
Ng01110	1377
Ng01111	648
Ng01112	615
Ng01113	2553
Ng01114	2679
Ng01115	1341
Ng01116	1257
Ng01117	2634
Ng01118	3709
Ng01119	1668
Ng01120	417
Ng01121	966
Ng01122	1014
Ng01123	966
Ng01124	204
Ng01125	1544
Ng01126	6012
Ng01127	1038
Ng01128	4866
Ng01129	1254
Ng01130	9660
Ng01131	444
Ng01132	1677
Ng01133	1776
Ng01134	195
Ng01135	3232
Ng01136	321
Ng01137	345
Ng01138	1958
Ng01139	237
Ng01140	4542
Ng01141	264
Ng01142	897
Ng01143	2502
Ng01144	372
Ng01145	621
Ng01146	612
Ng01147	246
Ng01148	957
Ng01149	600
Ng01150	2754
Ng01151	201
Ng01152	798
Ng01153	112
Ng01154	264
Ng01155	1746
Ng01156	678
Ng01157	195
Ng01158	1385
Ng01159	1746
Ng01160	315
Ng01161	954
Ng01162	279
Ng01163	516
Ng01164	5341
Ng01165	1008
Ng01166	2373
Ng01167	399
Ng01168	534
Ng01169	324
Ng01170	582
Ng01171	1932
Ng01172	450
Ng01173	348
Ng01174	699
Ng01175	222
Ng01176	2159
Ng01177	564
Ng01178	687
Ng01179	1928
Ng01180	228
Ng01181	240
Ng01182	2028
Ng01183	2814
Ng01184	988
Ng01185	411
Ng01186	573
Ng01187	285
Ng01188	990
Ng01189	1478
Ng01190	830
Ng01191	1632
Ng01192	498
Ng01193	555
Ng01194	663
Ng01195	543
Ng01196	786
Ng01197	2279
Ng01198	3375
Ng01199	309
Ng01200	357
Ng01201	348
Ng01202	2784
Ng01203	228
Ng01204	1143
Ng01205	1143
Ng01206	1622
Ng01207	1143
Ng01208	2274
Ng01209	696
Ng01210	217
Ng01211	474
Ng01212	414
Ng01213	189
Ng01214	871
Ng01215	606
Ng01216	4113
Ng01217	478
Ng01218	2332
Ng01219	354
Ng01220	441
Ng01221	726
Ng01222	1131
Ng01223	945
Ng01224	195
Ng01225	1341
Ng01226	639
Ng01227	1776
Ng01228	690
Ng01229	1339
Ng01230	753
Ng01231	1011
Ng01232	351
Ng01233	543
Ng01234	378
Ng01235	393
Ng01236	2553
Ng01237	300
Ng01238	465
Ng01239	822
Ng01240	342
Ng01241	3594
Ng01242	465
Ng01243	1815
Ng01244	1250
Ng01245	792
Ng01246	975
Ng01247	3213
Ng01248	1452
Ng01249	615
Ng01250	366
Ng01251	1479
Ng01252	2415
Ng01253	3871
Ng01254	1038
Ng01255	456
Ng01256	1016
Ng01257	327
Ng01258	2056
Ng01259	4832
Ng01260	690
Ng01261	4524
Ng01262	273
Ng01263	594
Ng01264	855
Ng01265	852
Ng01266	8670
Ng01267	2177
Ng01268	2097
Ng01269	411
Ng01270	333
Ng01271	1650
Ng01272	4323
Ng01273	1608
Ng01274	3129
Ng01275	2179
Ng01276	1247
Ng01277	3087
Ng01278	2005
Ng01279	753
Ng01280	1029
Ng01281	504
Ng01282	621
Ng01283	951
Ng01284	1266
Ng01285	660
Ng01286	258
Ng01287	2137
Ng01288	801
Ng01289	1815
Ng01290	432
Ng01291	1755
Ng01292	219
Ng01293	1128
Ng01294	705
Ng01295	234
Ng01296	471
Ng01297	888
Ng01298	3993
Ng01299	1469
Ng01300	2259
Ng01301	402
Ng01302	1560
Ng01303	1050
Ng01304	1527
Ng01305	1191
Ng01306	1131
Ng01307	438
Ng01308	384
Ng01309	3173
Ng01310	837
Ng01311	354
Ng01312	2700
Ng01313	957
Ng01314	798
Ng01315	1609
Ng01316	549
Ng01317	1476
Ng01318	1377
Ng01319	3101
Ng01320	2052
Ng01321	333
Ng01322	2856
Ng01323	1693
Ng01324	3588
Ng01325	294
Ng01326	2664
Ng01327	423
Ng01328	2247
Ng01329	1335
Ng01330	1290
Ng01331	1865
Ng01332	2082
Ng01333	1770
Ng01334	1702
Ng01335	1113
Ng01336	927
Ng01337	867
Ng01338	2097
Ng01339	3699
Ng01340	1516
Ng01341	1650
Ng01342	921
Ng01343	3383
Ng01344	1773
Ng01345	225
Ng01346	1305
Ng01347	240
Ng01348	2757
Ng01349	10851
Ng01350	12174
Ng01351	2200
Ng01352	1872
Ng01353	345
Ng01354	1740
Ng01355	618
Ng01356	3261
Ng01357	741
Ng01358	3243
Ng01359	690
Ng01360	2633
Ng01361	765
Ng01362	2421
Ng01363	369
Ng01364	1659
Ng01365	432
Ng01366	912
Ng01367	645
Ng01368	1062
Ng01369	1201
Ng01370	2766
Ng01371	7037
Ng01372	303
Ng01373	1480
Ng01374	1137
Ng01375	1843
Ng01376	1158
Ng01377	662
Ng01378	198
Ng01379	2006
Ng01380	1991
Ng01381	1029
Ng01382	715
Ng01383	1667
Ng01384	1302
Ng01385	1395
Ng01386	444
Ng01387	444
Ng01388	3474
Ng01389	180
Ng01390	1482
Ng01391	603
Ng01392	1455
Ng01393	1092
Ng01394	1083
Ng01395	2858
Ng01396	264
Ng01397	1206
Ng01398	6944
Ng01399	6733
Ng01400	252
Ng01401	408
Ng01402	855
Ng01403	6894
Ng01404	3058
Ng01405	948
Ng01406	1422
Ng01407	3277
Ng01408	195
Ng01409	678
Ng01410	807
Ng01411	1065
Ng01412	768
Ng01413	1884
Ng01414	16509
Ng01415	498
Ng01416	1056
Ng01417	1041
Ng01418	2279
Ng01419	1065
Ng01420	3174
Ng01421	670
Ng01422	894
Ng01423	2293
Ng01424	834
Ng01425	930
Ng01426	1704
Ng01427	912
Ng01428	1632
Ng01429	636
Ng01430	1128
Ng01431	999
Ng01432	3033
Ng01433	1299
Ng01434	336
Ng01435	1221
Ng01436	540
Ng01437	2010
Ng01438	3151
Ng01439	1128
Ng01440	1578
Ng01441	888
Ng01442	798
Ng01443	789
Ng01444	1183
Ng01445	1101
Ng01446	1068
Ng01447	1528
Ng01448	5991
Ng01449	330
Ng01450	1653
Ng01451	1467
Ng01452	1318
tRNAscan_0	81
Ng01454	834
tRNAscan_1	82
Ng01456	10170
Ng01457	1334
Ng01458	845
Ng01459	657
Ng01460	843
Ng01461	606
Ng01462	5592
Ng01463	738
Ng01464	741
Ng01465	1803
Ng01466	678
Ng01467	2469
Ng01468	4041
Ng01469	390
Ng01470	1457
Ng01471	1281
Ng01472	2130
Ng01473	216
Ng01474	618
Ng01475	1218
Ng01476	2739
Ng01477	1652
Ng01478	1206
Ng01479	225
Ng01480	1080
Ng01481	2265
Ng01482	582
Ng01483	528
Ng01484	1119
Ng01485	1175
Ng01486	3858
Ng01487	291
Ng01488	1077
Ng01489	342
Ng01490	855
Ng01491	552
Ng01492	321
Ng01493	1248
Ng01494	1191
Ng01495	939
Ng01496	2193
Ng01497	966
Ng01498	2016
Ng01499	1068
Ng01500	1557
Ng01501	1962
Ng01502	402
Ng01503	1491
Ng01504	1149
Ng01505	1254
Ng01506	303
Ng01507	1746
Ng01508	754
Ng01509	648
Ng01510	1375
Ng01511	1905
Ng01512	675
Ng01513	1974
Ng01514	2049
Ng01515	1389
Ng01516	3984
Ng01517	3154
Ng01518	829
Ng01519	813
Ng01520	963
Ng01521	225
Ng01522	1693
Ng01523	800
Ng01524	189
Ng01525	1800
Ng01526	369
Ng01527	3252
Ng01528	1635
Ng01529	5449
Ng01530	1749
Ng01531	1323
Ng01532	207
Ng01533	2433
Ng01534	2499
Ng01535	2133
Ng01536	1692
Ng01537	495
Ng01538	2079
Ng01539	795
Ng01540	579
Ng01541	1401
Ng01542	1800
Ng01543	408
Ng01544	954
Ng01545	752
Ng01546	6933
Ng01547	699
Ng01548	390
Ng01549	2344
Ng01550	858
Ng01551	1290
Ng01552	966
Ng01553	588
Ng01554	5076
Ng01555	180
Ng01556	1264
Ng01557	1596
Ng01558	1278
Ng01559	1744
Ng01560	1863
Ng01561	825
Ng01562	1013
Ng01563	1044
Ng01564	1350
Ng01565	423
Ng01566	3612
Ng01567	1533
Ng01568	1731
Ng01569	909
Ng01570	2295
Ng01571	315
Ng01572	1365
Ng01573	1998
Ng01574	2208
Ng01575	1615
Ng01576	1247
Ng01577	1694
Ng01578	1809
Ng01579	2369
Ng01580	1282
Ng01581	1347
Ng01582	1227
Ng01583	1164
Ng01584	1055
Ng01585	354
Ng01586	873
Ng01587	1060
Ng01588	3480
Ng01589	2014
Ng01590	1326
Ng01591	1422
Ng01592	424
Ng01593	4212
Ng01594	600
Ng01595	2538
Ng01596	1977
Ng01597	2295
Ng01598	2045
Ng01599	7155
Ng01600	336
Ng01601	1380
Ng01602	1017
Ng01603	1173
Ng01604	2190
Ng01605	432
Ng01606	3945
Ng01607	2302
Ng01608	2166
Ng01609	3274
Ng01610	1911
Ng01611	961
Ng01612	888
Ng01613	2586
Ng01614	4011
Ng01615	1263
Ng01616	1509
Ng01617	1546
Ng01618	2197
Ng01619	993
Ng01620	792
Ng01621	351
Ng01622	4305
Ng01623	366
Ng01624	5360
Ng01625	642
