,flux_c5a,flux_p5a,ratio,ratio_100
R03050__chlo,0.1181169205567514,0.0656202829362236,0.5555536211655226,55.55536211655227
R00658__mito,20.845417569628633,11.528513543653874,0.5530478583672362,55.304785836723624
R01518__mito,-20.845417569628633,-11.528513543653874,0.5530478583672362,55.304785836723624
TR2000105_PLAS__mitmem,20.845417569628633,11.528513543653874,0.5530478583672362,55.304785836723624
TR2000102_PLAS__chlomem,29.09380230933939,15.601241774711095,0.5362393546512463,53.62393546512463
TR0000532_PLAS__plas,11.970369142320862,6.329659703343852,0.5287773190690953,52.87773190690953
EX_C00704__dra,11.970369142320862,6.329659703343852,0.5287773190690953,52.87773190690953
TZ2900012_PLAS__mitmem,404.8401963483718,204.47777317330687,0.5050826845201664,50.50826845201664
R01700__mito,6.41633654739276,3.190953770827393,0.4973170823036111,49.73170823036111
R01061__cytop,20.845417569628633,10.2989016132191,0.49406070081437936,49.40607008143794
R01512__cytop,-20.845417569628633,-10.2989016132191,0.49406070081437936,49.40607008143794
R00330__cytop,0.8887804316499724,0.43776525671011035,0.49254601150187677,49.254601150187675
TR2900000_PLAS__mitmem,-3.2529301683978096,-1.4323615794709728,0.44032964291282795,44.032964291282795
R00355__mito,-4.551001406938189,-1.9513264580339367,0.4287685903720133,42.87685903720133
R01015__cytop,3.503854902005395,-1.4788434110161346,0.42206182972066963,42.20618297206696
T_Hydrogen_Peroxide__plas,-65.2314478118125,-25.902393370769264,0.39708444683759886,39.708444683759886
EX_C00027__dra,65.2314478118125,25.902393370769264,0.39708444683759886,39.708444683759886
T_Hydrogen_Peroxide_V3__permem,-14.644723539258743,5.601876823388253,0.38251844142848174,38.25184414284817
R08657__mito,1.3729639663950206,0.5247851549006752,0.38222791547734425,38.222791547734424
T_L_Serine_V1__mitmem,-0.08604198360028358,0.03206955714900206,0.37271987240536336,37.27198724053633
R00945__mito,0.08604198360028358,-0.03206955714900206,0.37271987240536336,37.27198724053633
R00570__chlo,0.8359873032915465,0.27662366489505924,0.33089457675481954,33.08945767548195
R00472__chlo,1.984757693101586,0.6553348461323328,0.3301838045067554,33.01838045067554
R00465__chlo,1.984757693101586,0.6553348461323328,0.3301838045067554,33.01838045067554
R00267__mito,14.17625681888552,4.570268565067171,0.3223889510084699,32.238895100846996
R00343__chlo,1.031835847301586,-0.32292886463616083,0.3129653476186846,31.29653476186846
R01900__mito,-10.777170289792846,-3.321750937107448,0.3082210680342973,30.822106803429726
R01325__mito,10.777170289792846,3.321750937107448,0.3082210680342973,30.822106803429726
R03140__chlo,1.8398151639761793,0.463892536242527,0.25214083747411337,25.214083747411337
R01334__chlo,1.8398151639761793,0.463892536242527,0.25214083747411337,25.214083747411337
R10092__chlo,16.483835246655673,-4.150284489208372,0.2517790567004365,25.17790567004365
R07618__mito,12.832853344785521,3.1911388143696766,0.24866946801557258,24.86694680155726
R02570__mito,12.83267309478552,3.190953770827393,0.24865854115180555,24.865854115180554
R00158__mito,4.265537925479343,1.0182746451633555,0.23872127336645968,23.872127336645967
R00659__mito,4.265537925479343,1.0182746451633555,0.23872127336645968,23.872127336645967
R00662__mito,4.265537925479343,1.0182746451633555,0.23872127336645968,23.872127336645967
R00405__mito,-14.779093246196215,-3.1905836837428256,0.21588494169383535,21.588494169383534
PEROX__pero,29.948756978548364,5.601691779845971,0.18704254683619556,18.704254683619556
T_FADH2_V1__permem,29.948756978548364,5.601691779845971,0.18704254683619556,18.704254683619556
T_FAD_V1__permem,-29.948756978548364,-5.601691779845971,0.18704254683619556,18.704254683619556
R00355__chlo,-1.031835847301586,0.191964357948838,0.1860415670291502,18.60415670291502
T_Superoxide__mitmem,-36.927131816367186,-6.329659703343852,0.1714094594408321,17.14094594408321
R00342__cytop,-4.681076360903381,0.7531647429777966,0.16089563273700722,16.089563273700723
TR0000243_PLAS__chlomem,23.8617297337031,3.42381665074204,0.14348568561256175,14.348568561256176
R00512__cytop,4.6121422336505,0.5981063179476634,0.12968080506794424,12.968080506794424
T_CMP__chlomem,-4.593364343650499,-0.5788290514721708,0.12601418223492283,12.601418223492283
T_ADP__chlomem,4.555505468050429,0.5399633624409053,0.11852984618894281,11.852984618894281
TZ2900023_PLAS__chlomem,4.5550833436505,0.5395300121259932,0.11844569493510236,11.844569493510235
R02022__cytop,0.22708489800000053,0.021646678902219225,0.09532416771378242,9.532416771378243
R10092__cytop,-21.131465956144442,-1.9253074284030802,0.09111092587702153,9.111092587702153
R00572__chlo,3.719096040358953,0.262906347230934,0.07069092714410227,7.069092714410227
T_UDPG__chlomem,-0.7542637507154911,0.04613235602024753,0.06116210142206435,6.116210142206436
R00959__chlo,-0.7609200507154911,0.03929903934618003,0.051646739114348805,5.16467391143488
R02740__chlo,-0.7609200507154911,0.03929903934618003,0.051646739114348805,5.16467391143488
R00289__chlo,0.7609200507154911,-0.03929903934618003,0.051646739114348805,5.16467391143488
TR2300023_PLAS__mitmem,2.733240410661974,0.05304678523124925,0.01940802024744016,1.940802024744016
TZ2900004_PLAS__chlomem,21.56281849086705,0.12813480535484348,0.005942395953901624,0.5942395953901624
T_FADH2__chlomem,-22.937704879616728,-0.12262619967224297,0.00534605359672288,0.5346053596722881
T_SUCFUMthr__chlomem,22.937704879616728,0.12262619967224297,0.00534605359672288,0.5346053596722881
R00408__chlo,22.937704879616728,0.12262619967224297,0.00534605359672288,0.5346053596722881
T_FAD__chlomem,22.937552320916726,0.12246958384836423,0.005339261231316489,0.5339261231316489
R00512__mito,4.265718188279338,0.00018505668268460358,4.3382303873957944e-05,0.0043382303873957945
R00572__mito,4.265718188279338,0.00018505668268460358,4.3382303873957944e-05,0.0043382303873957945
R01829__cytop,-0.42422702082921954,-1.740013849554545e-16,4.1016101382543e-16,4.1016101382543e-14
R01845__cytop,0.42422702082921954,0.0,0.0,0.0
TI2903796_PLAS__mitmem,-23.628755546106586,0.0,0.0,0.0
T_OAACITtm__mitmem,0.8238939663641667,0.0,0.0,0.0
T_OAAICITtm__mitmem,0.8238939663641667,0.0,0.0,0.0
R00734__cytop,5.10075e-05,0.0,0.0,0.0
R00185__cytop,0.1720637247,0.0,0.0,0.0
R00727__mito,1.4844251927606913,0.0,0.0,0.0
TR6900007_PLAS__mitmem,7.633406418963502,0.0,0.0,0.0
R00243__chlo,3.683189275326676,0.0,0.0,0.0
R00515__chlo,4.0295298253505,0.0,0.0,0.0
R00275__cytop,12.478381337023164,0.0,0.0,0.0
TR2000137_PLAS__mitmem,1.6477879327283333,0.0,0.0,0.0
R04325__cytop,0.01599289427431142,0.0,0.0,0.0
T_Oxygen_V4__permem,22.296830383903554,0.0,0.0,0.0
T_AKGCITtm__mitmem,0.8238939663641667,0.0,0.0,0.0
R00724__mito,1.4844251927606913,0.0,0.0,0.0
R00621__mito,6.41633654739276,0.0,0.0,0.0
T_H2O_V2__mitmem,29.65634691143211,0.0,0.0,0.0
R00575__cytop,0.18416945540523735,0.0,0.0,0.0
T_CoA_ATP__mitmem,-0.8094947209623838,0.0,0.0,0.0
R04724__chlo,0.981514282443849,0.0,0.0,0.0
R00432__mito,0.46235545865000394,0.0,0.0,0.0
R00216__cytop,1.0853746826130062,0.0,0.0,0.0
TI2903793_PLAS__mitmem,0.46235545865000394,0.0,0.0,0.0
T_3__4_Hydroxyphenyl_pyruvate__mitmem,5.10075e-05,0.0,0.0,0.0
T_CoA_ADP__mitmem,0.8094373461623824,0.0,0.0,0.0
R00156__chlo,0.7992010507154911,0.0,0.0,0.0
TR2900128_PLAS__mitmem,-12.47167542658306,0.0,0.0,0.0
T_MALICITtm__mitmem,-0.8238939663641667,0.0,0.0,0.0
R04429__chlo,0.2302624485551066,0.0,0.0,0.0
R00357__mito,0.22968072456480365,0.0,0.0,0.0
R02739__cytop,0.1446142977154912,0.0,0.0,0.0
R04958__chlo,0.9815142824438481,0.0,0.0,0.0
R03316__mito,6.41633654739276,0.0,0.0,0.0
R00274__chlo,0.6004517091666209,0.0,0.0,0.0
R07276__chlo,0.1275718787,0.0,0.0,0.0
R04955__chlo,0.9815142824438481,0.0,0.0,0.0
R00515__mito,4.265537925479343,0.0,0.0,0.0
